song,track_id,release_date,song_popularity,duration(ms),explicit,artist_name,artist_id,artist_follower_no,artist_genres,artist_popularity,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,birth_year,artist_country,gender,band,repetitions_rate,mean_sentence_len,mean_word_len,unique_words_rate,total_words,total_char,count_word_i,count_word_you,count_word_oh,count_word_know,count_word_it,count_word_like,count_word_got,count_word_and,count_word_yeah,count_word_we,count_word_one,count_word_love,count_word_the,count_word_go,count_word_time,count_word_get,count_word_me,count_word_when,count_word_come,count_word_all
All Mixed Up,18ZOH3KKu5Elt5ysocFyX4,1995-07-11,61,179600,True,311,41Q0HrwWBtuUkJc7C1Rp6K,859507,"['alternative metal', 'alternative rock', 'funk metal', 'funk rock', 'nu metal', 'pop rock', 'rap rock', 'reggae fusion', 'rock']",61,0.0104,0.76,0.702,0.0,10.0,0.38,-9.404,0.0,0.0716,92.324,4.0,0.659,,United States,,True,55.62,37.53,5.26,0.28,442.0,1612.0,11.0,20.0,0.0,4.0,10.0,1.0,6.0,12.0,0.0,6.0,0.0,0.0,15.0,2.0,0.0,3.0,6.0,1.0,3.0,3.0
Amber,6Fe3Flc9SjE03pqwD6PVQl,2001-06-19,64,206973,False,311,41Q0HrwWBtuUkJc7C1Rp6K,859507,"['alternative metal', 'alternative rock', 'funk metal', 'funk rock', 'nu metal', 'pop rock', 'rap rock', 'reggae fusion', 'rock']",61,0.156,0.663,0.697,0.0224,0.0,0.0663,-9.442,1.0,0.0473,166.001,4.0,0.744,,United States,,True,32.36,31.56,5.42,0.32,168.0,699.0,4.0,7.0,0.0,3.0,4.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
The Heart Of Rock And Roll,715sEYWkafd4xvl87dwZgu,2013-01-01,56,304920,False,311,41Q0HrwWBtuUkJc7C1Rp6K,859507,"['alternative metal', 'alternative rock', 'funk metal', 'funk rock', 'nu metal', 'pop rock', 'rap rock', 'reggae fusion', 'rock']",61,0.0316,0.594,0.756,0.000102,10.0,0.222,-8.82,1.0,0.0379,143.301,4.0,0.956,,United States,,True,38.6,41.75,5.3,0.25,306.0,1201.0,7.0,1.0,0.0,0.0,5.0,2.0,0.0,19.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0
What's Up?,0jWgAnTrNZmOGmqgvHhZEm,1992-01-01,81,295533,False,4 Non Blondes,0Je74SitssvJg1w4Ra2EK7,384137,"['new wave pop', 'pop rock']",62,0.161,0.565,0.564,0.0,2.0,0.114,-10.044,1.0,0.0292,134.355,4.0,0.454,,United States,,False,39.76,24.91,4.87,0.16,386.0,1209.0,43.0,0.0,2.0,0.0,2.0,0.0,0.0,30.0,3.0,0.0,0.0,0.0,8.0,0.0,1.0,8.0,0.0,3.0,0.0,3.0
Crazy,5DZdCgnX9xAj59X6X7cQBs,2015-02-09,63,192400,False,4Minute,6cdC1cwqh3eJAXaxXJt2jv,1036340,"['k-pop', 'k-pop girl group']",50,0.00584,0.54,0.929,4.11e-06,7.0,0.424,-2.646,1.0,0.279,176.019,4.0,0.621,,South Korea,,False,40.0,25.2,4.48,0.23,1138.0,4200.0,19.0,34.0,0.0,3.0,4.0,27.0,0.0,12.0,6.0,1.0,0.0,0.0,15.0,19.0,0.0,4.0,26.0,1.0,1.0,1.0
Long Way Home,7m3IIP2HPEjmtvzREOJILz,2014-06-27,49,199027,False,5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy,8707577,"['boy band', 'dance pop', 'pop', 'post-teen pop']",78,0.00977,0.455,0.88,0.0,6.0,0.223,-5.041,1.0,0.0587,181.987,4.0,0.791,,Australia,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
She Looks So Perfect,1gugDOSMREb34Xo0c1PlxM,2014-06-27,74,202496,False,5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy,8707577,"['boy band', 'dance pop', 'pop', 'post-teen pop']",78,0.000569,0.494,0.951,0.0,9.0,0.327,-4.237,1.0,0.132,160.025,4.0,0.441,,Australia,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
Youngblood,2iUXsYOEPhVqEBwsqP70rE,2018-06-15,81,203417,False,5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy,8707577,"['boy band', 'dance pop', 'pop', 'post-teen pop']",78,0.0169,0.596,0.854,0.0,7.0,0.124,-5.114,0.0,0.463,120.274,4.0,0.152,,Australia,,True,56.11,47.16,4.99,0.15,453.0,1571.0,27.0,47.0,0.0,1.0,13.0,1.0,0.0,24.0,14.0,0.0,3.0,1.0,9.0,0.0,6.0,0.0,20.0,1.0,0.0,6.0
Want You Back,2vHfabj6nFebekTYODqntl,2018-06-15,65,173081,True,5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy,8707577,"['boy band', 'dance pop', 'pop', 'post-teen pop']",78,0.00699,0.618,0.867,1.03e-06,0.0,0.202,-4.915,1.0,0.0439,98.03,4.0,0.579,,Australia,,True,51.08,34.19,4.9,0.14,401.0,1410.0,48.0,49.0,0.0,14.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,5.0,7.0,1.0,3.0,2.0,4.0,0.0,2.0
Youngblood - Acoustic,5EqlEvrylr3DNy3R11Kmrz,2018-06-01,55,220995,False,5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy,8707577,"['boy band', 'dance pop', 'pop', 'post-teen pop']",78,0.127,0.607,0.589,0.0,4.0,0.182,-6.068,0.0,0.0274,114.946,4.0,0.399,,Australia,,True,50.88,25.03,5.01,0.15,448.0,1554.0,25.0,49.0,0.0,1.0,13.0,1.0,0.0,25.0,14.0,0.0,3.0,1.0,9.0,0.0,6.0,0.0,20.0,1.0,0.0,6.0
