song,track_id,release_date,song_popularity,duration(ms),explicit,artist_name,artist_id,artist_follower_no,artist_genres,artist_popularity,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,birth_year,artist_country,gender,band,repetitions_rate,mean_sentence_len,mean_word_len,unique_words_rate,total_words,total_char,count_word_i,count_word_you,count_word_oh,count_word_know,count_word_it,count_word_like,count_word_got,count_word_and,count_word_yeah,count_word_we,count_word_one,count_word_love,count_word_the,count_word_go,count_word_time,count_word_get,count_word_me,count_word_when,count_word_come,count_word_all
Baby Hold On,5ZYvcJ04ccUw2Matbnmu0U,1977,61,210826,False,Eddie Money,4Tw2N3wdvJPGEU7JqMxFfE,712440,"['album rock', 'classic rock', 'country rock', 'folk rock', 'hard rock', 'mellow gold', 'pop rock', 'rock', 'soft rock']",60,0.154,0.642,0.641,1.23e-06,2.0,0.0475,-12.444,1.0,0.049,120.316,4.0,0.85,1949.0,United States,male,False,37.58,24.87,4.38,0.19,322.0,1064.0,6.0,16.0,2.0,1.0,3.0,0.0,2.0,0.0,1.0,1.0,0.0,2.0,9.0,1.0,0.0,1.0,17.0,7.0,0.0,3.0
Society,3bHhUEOTIbezeZ856R0BX5,2007-09-18,67,236306,False,Eddie Vedder,0mXTJETA4XUa12MmmXxZJh,1404181,"['acoustic rock', 'permanent wave', 'rock']",61,0.902,0.561,0.327,0.000469,11.0,0.111,-10.835,0.0,0.0327,161.858,4.0,0.298,1964.0,United States,male,False,32.84,36.74,5.31,0.18,213.0,790.0,9.0,29.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,3.0,0.0,1.0
Long Nights,4lxGVzcUaSF5HW5jtWnShV,2007-09-18,58,151773,False,Eddie Vedder,0mXTJETA4XUa12MmmXxZJh,1404181,"['acoustic rock', 'permanent wave', 'rock']",61,0.675,0.478,0.305,0.00139,5.0,0.169,-13.062,1.0,0.0306,108.66,4.0,0.0974,1964.0,United States,male,False,20.57,18.07,4.87,0.24,129.0,435.0,19.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,5.0,1.0,0.0,0.0
It's a Sin,1wK9cRMY8HBmRLiNm72MBG,1996-06-18,47,146080,False,Eddy Arnold,5QsUbpxSE8lCZ5ga5rnD22,78019,"['nashville sound', 'traditional country', 'yodeling']",43,0.909,0.692,0.373,4.35e-06,10.0,0.116,-12.201,1.0,0.027,144.591,4.0,0.782,1918.0,United States,male,False,,,,,,,,,,,,,,,,,,,,,,,,,,
XO,0ZAiqymvbQUZAh9y6ZT3Rm,2016-08-19,67,159512,False,Eden Mary,6sg4OZ2ZzhsEeOTTEZYMYJ,3023,,24,0.625,0.611,0.39,0.0,2.0,0.118,-5.861,0.0,0.116,163.897,4.0,0.617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Circles,6REPF37KwcWMqyk6XCuB7p,2016-08-19,56,274668,False,Eden Parker,1Ornfhu55848HAibUhksue,106,,1,0.612,0.261,0.524,2.11e-06,2.0,0.0923,-6.697,1.0,0.0437,58.883,3.0,0.119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What I Am,6hHUiDe461VUoTHnsplRYs,1988-01-01,58,296360,False,Edie Brickell & New Bohemians,4awU3JRQXIYoxabdwO92AU,123498,"['lilith', 'new wave pop']",45,0.624,0.619,0.677,6.46e-05,11.0,0.0589,-11.728,0.0,0.0746,177.873,4.0,0.571,,United States,,True,36.77,29.4,4.78,0.09,307.0,954.0,36.0,19.0,1.0,12.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0
Munich,1TF8mSG5YHyaS4o3NeBSAo,2005-01-01,61,226426,False,Editors,6e9wIFWhBPHLE9bXK8gtBI,677848,"['alternative dance', 'indie rock', 'modern rock', 'rock']",56,0.00052,0.173,0.872,0.0353,7.0,0.324,-4.39,0.0,0.0533,149.361,4.0,0.39,,,,False,31.48,33.64,4.88,0.08,213.0,747.0,10.0,25.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,0.0,0.0
The Racing Rats,1VCxGwTx1F4I7hvMJPV2ip,2007-01-01,49,257786,False,Editors,6e9wIFWhBPHLE9bXK8gtBI,677848,"['alternative dance', 'indie rock', 'modern rock', 'rock']",56,0.00019,0.311,0.84,4.93e-05,7.0,0.0781,-3.584,1.0,0.051,153.142,4.0,0.215,,,,False,33.36,27.57,4.97,0.27,263.0,928.0,3.0,9.0,1.0,0.0,5.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,25.0,1.0,3.0,0.0,1.0,1.0,2.0,1.0
In This Light and on This Evening,0pOiHErR1yckyvio8G9tSw,2009-10-12,25,259560,False,Editors,6e9wIFWhBPHLE9bXK8gtBI,677848,"['alternative dance', 'indie rock', 'modern rock', 'rock']",56,0.00275,0.353,0.645,0.805,4.0,0.155,-5.61,0.0,0.0354,147.707,4.0,0.212,,,,False,19.75,21.88,5.4,0.13,117.0,432.0,12.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
Papillon,7hYiX6LMP8w8d0kEc4KWuW,2009-10-12,56,324133,False,Editors,6e9wIFWhBPHLE9bXK8gtBI,677848,"['alternative dance', 'indie rock', 'modern rock', 'rock']",56,2.1e-05,0.506,0.947,0.00569,7.0,0.301,-5.157,1.0,0.0612,125.993,4.0,0.656,,,,False,32.65,26.34,4.56,0.18,263.0,931.0,2.0,9.0,1.0,0.0,10.0,8.0,0.0,3.0,0.0,3.0,0.0,2.0,3.0,0.0,0.0,3.0,3.0,2.0,0.0,0.0
You Don't Know Love,2mIBG2QhRJDQRivpBWvNLK,2009-10-12,27,278700,False,Editors,6e9wIFWhBPHLE9bXK8gtBI,677848,"['alternative dance', 'indie rock', 'modern rock', 'rock']",56,0.00057,0.475,0.726,0.00172,4.0,0.336,-4.898,0.0,0.038,128.95,4.0,0.602,,,,False,32.12,28.14,4.61,0.18,228.0,790.0,2.0,39.0,1.0,8.0,0.0,15.0,1.0,1.0,0.0,0.0,1.0,17.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Eat Raw Meat = Blood Drool,6wf3E7JcdSytfasAYjGiSK,2009-10-12,32,293053,True,Editors,6e9wIFWhBPHLE9bXK8gtBI,677848,"['alternative dance', 'indie rock', 'modern rock', 'rock']",56,0.0156,0.378,0.783,0.00278,9.0,0.378,-4.567,0.0,0.0612,171.932,4.0,0.33,,,,False,42.33,41.23,4.65,0.11,304.0,933.0,33.0,10.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Home,7w5cxTEzp1rfV3KCy0Bd5N,2009-07-14,71,303200,False,Edward Sharpe & The Magnetic Zeros,7giUHu5pv6YTZgSkxxCcgh,1000525,"['double drumming', 'indie folk', 'la indie', 'modern rock', 'stomp and holler']",62,0.292,0.542,0.589,0.000522,2.0,0.177,-6.623,1.0,0.0318,111.665,4.0,0.137,,United States,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
I Come In Please - 2019 - Remaster,7wnXvP223cxye18Alsx2EE,2009-07-07,26,307107,False,Edward Sharpe & The Magnetic Zeros,7giUHu5pv6YTZgSkxxCcgh,1000525,"['double drumming', 'indie folk', 'la indie', 'modern rock', 'stomp and holler']",62,0.143,0.456,0.555,0.0144,0.0,0.107,-8.59,1.0,0.033,112.175,4.0,0.191,,United States,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
Better Days,2JCBER0TK8Of3EZ4yB2Y3Q,2013-07-23,39,265266,True,Edward Sharpe & The Magnetic Zeros,7giUHu5pv6YTZgSkxxCcgh,1000525,"['double drumming', 'indie folk', 'la indie', 'modern rock', 'stomp and holler']",62,0.367,0.537,0.888,0.0644,10.0,0.288,-6.225,1.0,0.097,95.802,4.0,0.498,,United States,,True,28.94,44.86,4.78,0.24,202.0,783.0,10.0,4.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0
War,4ZEEcEMGjkWOfZNBcIB9yE,1970-01-01,63,200266,False,Edwin Starr,1B8AXU6gIIafpyLEpbcv1u,134433,"['classic soul', 'motown', 'northern soul', 'quiet storm', 'soul', 'southern soul']",48,0.0939,0.59,0.671,0.0,1.0,0.248,-12.484,1.0,0.154,109.333,4.0,0.736,1942.0,United States,,False,51.89,32.73,5.46,0.22,367.0,1400.0,2.0,1.0,10.0,0.0,29.0,0.0,2.0,5.0,4.0,1.0,1.0,1.0,5.0,1.0,0.0,0.0,6.0,1.0,0.0,6.0
Catalonia,5I4V6rPavVbeOLHfyZNVPm,2018-02-23,41,188800,False,Eebz,404pT8ehpu5lk3tgBKkCp5,5238,"['danish hip hop', 'danish pop']",30,0.139,0.774,0.75,0.0,4.0,0.11,-4.716,0.0,0.0543,105.036,4.0,0.535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
That Look You Give That Guy,5LaE3oXGo5J6ORlGmTlnIb,2009-06-02,57,255346,False,Eels,3zunDAtRDg7kflREzWAhxl,405228,"['alternative rock', 'melancholia']",56,0.584,0.777,0.511,0.0134,5.0,0.0968,-9.241,1.0,0.0267,94.421,4.0,0.499,,,,False,32.7,23.93,5.0,0.19,246.0,824.0,28.0,13.0,0.0,2.0,3.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,8.0,0.0,0.0,3.0
Electro-Shock Blues,5LoI4n2LjE5QzE4k7Akmh2,1998-10-10,39,149933,False,Eels,3zunDAtRDg7kflREzWAhxl,405228,"['alternative rock', 'melancholia']",56,0.905,0.558,0.106,0.0027,4.0,0.107,-20.038,1.0,0.0659,73.3,3.0,0.357,,,,False,10.59,17.24,5.52,0.47,62.0,246.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
I Need Some Sleep,1YrlYk4iWEFmn2KQfYNOEz,2008-01-15,61,148186,False,Eels,3zunDAtRDg7kflREzWAhxl,405228,"['alternative rock', 'melancholia']",56,0.869,0.664,0.307,0.458,0.0,0.107,-10.14,1.0,0.0325,128.029,4.0,0.193,,,,False,18.83,27.58,4.64,0.2,127.0,409.0,7.0,9.0,0.0,0.0,10.0,1.0,9.0,1.0,0.0,0.0,1.0,0.0,2.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0
Bus Stop Boxer,3VmwFF0DBZISt2qN7ClD1t,2001-09-19,40,222200,False,Eels,3zunDAtRDg7kflREzWAhxl,405228,"['alternative rock', 'melancholia']",56,0.0301,0.782,0.522,0.00819,0.0,0.093,-7.861,1.0,0.0375,116.363,4.0,0.549,,,,False,27.27,28.21,4.86,0.26,192.0,621.0,17.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,14.0,1.0,0.0,1.0,7.0,1.0,0.0,0.0
Shadow of the Day,0OYcEfskah1egYHjYRvbg1,2007-05-14,66,290360,False,Eiffel 65,64rxQRJsLgZwHHyWKB8fiF,292981,"['bubblegum dance', 'eurodance', 'europop', 'italian adult pop', 'italo dance']",61,0.00479,0.534,0.393,0.0107,11.0,0.107,-7.813,1.0,0.0292,110.007,4.0,0.0641,,Italy,,True,26.82,29.75,5.54,0.15,155.0,583.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Too Much Of Heaven - Original Radio Edit,7xzkwOK4rRSlI0LTBK1lZz,1999,46,249191,False,Eiffel 65,64rxQRJsLgZwHHyWKB8fiF,292981,"['bubblegum dance', 'eurodance', 'europop', 'italian adult pop', 'italo dance']",61,0.0574,0.696,0.552,0.0,8.0,0.0916,-13.426,1.0,0.0822,98.928,4.0,0.463,,Italy,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
You Are Mine,7cIqYaQ3ZTdKx2A8gPvWNe,2017-02-17,19,266192,False,Eisley,2IL35FbYiOta150uSYBCEg,66856,"['indie pop', 'piano rock']",32,0.0178,0.54,0.84,0.443,7.0,0.115,-4.847,1.0,0.0265,98.991,4.0,0.461,,United States,,True,25.46,23.69,4.94,0.24,205.0,674.0,10.0,14.0,0.0,0.0,6.0,0.0,0.0,5.0,4.0,3.0,0.0,1.0,4.0,5.0,0.0,0.0,13.0,1.0,0.0,0.0
New York Morning,6ADh6olpF5MakJbj1l75Ki,2014-01-01,23,319906,False,Elbow,0TJB3EE2efClsYIDQ8V2Jk,473207,"['britpop', 'indie rock', 'modern rock', 'rock']",55,0.525,0.521,0.615,0.0,1.0,0.0856,-8.282,0.0,0.0473,76.513,4.0,0.156,,,,False,45.24,35.27,5.35,0.26,376.0,1467.0,3.0,2.0,5.0,0.0,10.0,8.0,0.0,17.0,0.0,0.0,6.0,2.0,33.0,0.0,0.0,0.0,3.0,0.0,2.0,11.0
Mirrorball,04xBdpu35JfdRI4S1t5mX2,2008-03-17,34,350160,False,Elbow,0TJB3EE2efClsYIDQ8V2Jk,473207,"['britpop', 'indie rock', 'modern rock', 'rock']",55,0.276,0.592,0.656,0.00148,6.0,0.0943,-9.04,0.0,0.0296,142.635,4.0,0.189,,,,False,29.03,28.71,5.27,0.25,198.0,793.0,4.0,7.0,0.0,3.0,2.0,1.0,0.0,4.0,0.0,5.0,0.0,8.0,10.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0
Garden,71yBmLTZ6wmxcHUhtSObXV,2014-07-28,41,261135,False,Elder Island,3EnbnmqrrvApHJs6FMvYik,144847,"['electronica', 'indie soul']",49,0.391,0.585,0.285,0.0124,9.0,0.35,-13.027,0.0,0.0341,102.039,4.0,0.0866,,,,False,43.03,32.2,4.83,0.15,272.0,1039.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,15.0,4.0,0.0,0.0,6.0,0.0,0.0,1.0
This Head I Hold,1tzPSule9WZ9B8SujHv8fp,2012-01-01,55,175773,False,Electric Guest,7sgWBYtJpblXpJl2lU5WVs,325550,"['alternative dance', 'indie rock', 'indietronica', 'la indie', 'modern rock', 'shimmer pop']",55,0.0268,0.663,0.873,0.0108,0.0,0.261,-4.915,1.0,0.0328,162.024,4.0,0.962,,United States,,True,50.87,32.0,4.85,0.17,454.0,1423.0,53.0,2.0,3.0,1.0,13.0,0.0,1.0,16.0,0.0,0.0,0.0,1.0,11.0,15.0,0.0,4.0,9.0,0.0,0.0,3.0
American Daydream,2r0lAM25q5tJE1H4SesviY,2012-01-01,47,168626,False,Electric Guest,7sgWBYtJpblXpJl2lU5WVs,325550,"['alternative dance', 'indie rock', 'indietronica', 'la indie', 'modern rock', 'shimmer pop']",55,0.154,0.666,0.473,0.00317,5.0,0.109,-10.06,0.0,0.0454,75.002,4.0,0.409,,United States,,True,36.73,22.68,5.1,0.22,280.0,997.0,6.0,7.0,1.0,2.0,16.0,0.0,0.0,4.0,0.0,14.0,0.0,1.0,5.0,6.0,0.0,2.0,5.0,0.0,0.0,3.0
Mr. Blue Sky,2RlgNHKcydI9sayD2Df2xp,1977,81,303373,False,Electric Light Orchestra,7jefIIksOi1EazgRTfW2Pk,3379472,"['album rock', 'art rock', 'beatlesque', 'classic rock', 'glam rock', 'mellow gold', 'rock', 'soft rock', 'symphonic rock']",70,0.652,0.388,0.338,3.73e-06,10.0,0.248,-10.054,1.0,0.0329,177.765,4.0,0.478,,United Kingdom,,True,30.44,21.16,5.18,0.23,315.0,1143.0,2.0,18.0,1.0,1.0,3.0,0.0,0.0,2.0,0.0,8.0,0.0,0.0,9.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0
Last Train to London,6xE6ZWzK1YDDSYzqOCoQlz,1979-05-31,68,270066,False,Electric Light Orchestra,7jefIIksOi1EazgRTfW2Pk,3379472,"['album rock', 'art rock', 'beatlesque', 'classic rock', 'glam rock', 'mellow gold', 'rock', 'soft rock', 'symphonic rock']",70,0.396,0.727,0.537,0.000789,7.0,0.349,-9.785,1.0,0.0295,121.493,4.0,0.954,,United Kingdom,,True,25.35,38.04,4.84,0.3,207.0,780.0,12.0,7.0,0.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,5.0,2.0,7.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0
Hold On Tight,6yBbmHFTxihIDFAerzDMGi,1981-08-01,59,186600,False,Electric Light Orchestra,7jefIIksOi1EazgRTfW2Pk,3379472,"['album rock', 'art rock', 'beatlesque', 'classic rock', 'glam rock', 'mellow gold', 'rock', 'soft rock', 'symphonic rock']",70,0.159,0.439,0.794,1.69e-06,7.0,0.434,-11.792,1.0,0.0633,145.056,4.0,0.748,,United Kingdom,,True,29.17,30.81,4.79,0.22,218.0,798.0,0.0,18.0,1.0,0.0,1.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,0.0,10.0,0.0,2.0
Absent Minded Driving,7F94Yp3is67LK2k7HKNYXP,2016-06-25,19,1670251,False,Electric Octopus,4dcZVsGQzFSiXuAHyhw3qT,37553,"['flute rock', 'instrumental stoner rock', 'space rock']",27,0.524,0.455,0.5,0.851,7.0,0.108,-9.839,1.0,0.0362,100.031,4.0,0.512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moments,49rhyZLMgZZIsYcAQTnaHS,2017-05-01,38,724658,False,Electric Octopus,4dcZVsGQzFSiXuAHyhw3qT,37553,"['flute rock', 'instrumental stoner rock', 'space rock']",27,0.544,0.441,0.319,0.918,5.0,0.11,-11.847,1.0,0.0302,94.513,4.0,0.216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gay Bar,7G5xEOORkAAUhx6wjTRb26,2003-05-19,54,140906,False,Electric Six,4xNadaO5ZZLVJdqDIVVIua,141245,"['alternative rock', 'dance-punk', 'garage rock']",48,0.000114,0.399,0.975,0.000624,7.0,0.152,-5.237,1.0,0.0991,171.971,4.0,0.319,,United States,,True,20.91,28.13,4.48,0.15,153.0,490.0,7.0,10.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Danger! High Voltage - Soulchild Radio Mix,2VHfyWLlvCvbkIqtS5tqt3,2003-05-19,58,214600,False,Electric Six,4xNadaO5ZZLVJdqDIVVIua,141245,"['alternative rock', 'dance-punk', 'garage rock']",48,1.92e-05,0.66,0.698,0.166,11.0,0.0517,-4.722,0.0,0.0302,123.005,4.0,0.511,,United States,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
Your World,4kSdxhFY3Y9Cwzl8T2jzGU,2016-05-09,28,304010,False,Electus,5hg6WGDRbbzQWRW9MovhdW,16595,['chillstep'],30,0.0449,0.495,0.293,0.154,10.0,0.36,-14.491,1.0,0.0433,119.877,4.0,0.0572,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,
Circles,3bVkul6Y8rctihqtiFm8xK,2006-07-18,1,285240,False,Eleven Polar Bears,1j3rlRxaYAVgJZzY2juaeT,8,,0,0.532,0.516,0.621,0.628,2.0,0.0846,-11.342,0.0,0.0359,151.016,4.0,0.821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Love Ain't,6uVzeU47Qzg0rrMneP5BNg,2018-05-25,64,186118,False,Eli Young Band,6eKWqnckwdIlSnjaYgIyxv,743113,"['contemporary country', 'country', 'country road', 'heartland rock', 'modern country rock', 'texas country']",62,0.00566,0.6,0.851,9.78e-06,11.0,0.0891,-4.645,1.0,0.0388,98.007,4.0,0.727,,United States,,True,48.06,34.54,4.87,0.17,365.0,1235.0,8.0,22.0,0.0,8.0,2.0,4.0,0.0,7.0,0.0,0.0,0.0,24.0,8.0,0.0,0.0,1.0,6.0,2.0,3.0,4.0
Champion,1z1mMZtZW0gvR9FSPc7JpJ,2018-11-30,60,173237,False,Elina,4K9OTkRXEFL6NDXFTqVmq9,164208,"['alt z', 'australian pop', 'pop', 'viral pop']",56,0.921,0.65,0.171,0.0,6.0,0.127,-9.005,1.0,0.0519,119.522,4.0,0.284,,,,,40.62,32.26,5.15,0.19,286.0,1011.0,12.0,28.0,0.0,0.0,2.0,6.0,0.0,13.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,3.0,7.0,0.0,7.0
Just Not Each Other,778wnHTkV3F1mtUgehQIWF,2008-09-30,14,174800,False,Eliza Doolittle,14L5rpGTLVUz1pD8fUeJB1,149897,['lilith'],58,0.922,0.411,0.274,0.000345,11.0,0.0946,-15.651,1.0,0.0359,125.347,4.0,0.354,,United Kingdom,female,False,14.38,33.75,5.32,0.36,87.0,330.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Moses,1CiyXHdSg3D2EJUZW62MMD,2009-11-30,36,242493,False,Elizabeth Fraser,791Z3924aa619hZ3xsOJEx,18817,"['dream pop', 'ethereal wave', 'scottish indie']",37,0.134,0.658,0.595,0.611,7.0,0.125,-8.508,0.0,0.0268,93.998,4.0,0.39,1963.0,United Kingdom,female,False,,,,,,,,,,,,,,,,,,,,,,,,,,
My Funny Valentine,0uqoRVmmU2WM9iDgQBf23R,1956-01-01,49,235200,False,Ella Fitzgerald,5V0MlUE1Bft0mbLlND7FJz,2201955,"['adult standards', 'jazz blues', 'lounge', 'swing', 'vocal jazz']",66,0.942,0.188,0.192,9.53e-06,7.0,0.166,-14.204,0.0,0.0339,86.169,4.0,0.145,1917.0,United States,female,False,20.85,30.59,5.36,0.36,162.0,662.0,0.0,9.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0
It Don't Mean A Thing (If It Ain't Got That Swing),0RGMEpSB5iF6uD0ojXIiWz,1957-01-01,42,254746,False,Ella Fitzgerald,5V0MlUE1Bft0mbLlND7FJz,2201955,"['adult standards', 'jazz blues', 'lounge', 'swing', 'vocal jazz']",66,0.657,0.567,0.379,0.0,0.0,0.103,-12.373,1.0,0.11,144.293,4.0,0.739,1917.0,United States,female,False,42.58,33.66,5.06,0.06,309.0,940.0,0.0,10.0,0.0,0.0,24.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Shame,61eWyvx6fZ5xCG3mZpU858,2018-08-10,39,159267,False,Elle King,3bhu7P5PfngueRHiB9hjcx,495021,['modern blues rock'],65,0.0205,0.656,0.935,0.00075,11.0,0.0731,-2.476,1.0,0.0461,120.011,4.0,0.916,1989.0,United States,female,False,33.72,28.59,4.75,0.2,239.0,920.0,6.0,19.0,1.0,4.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,0.0,2.0,6.0,0.0,2.0,0.0
"Love Me Like You Do - From ""Fifty Shades Of Grey""",3zHq9ouUJQFQRf3cm1rRLu,2015-11-06,79,252534,False,Ellie Goulding,0X2BH1fck6amBIoJhDVmmJ,11022983,"['dance pop', 'edm', 'electropop', 'indietronica', 'metropopolis', 'pop', 'uk pop']",77,0.247,0.262,0.606,0.0,8.0,0.125,-6.646,1.0,0.0484,189.857,4.0,0.275,1986.0,United Kingdom,,False,,,,,,,,,,,,,,,,,,,,,,,,,,
Lights - Single Version,5aTsxlQlq0vIedDWZoqMWN,2010-01-01,68,210853,False,Ellie Goulding,0X2BH1fck6amBIoJhDVmmJ,11022983,"['dance pop', 'edm', 'electropop', 'indietronica', 'metropopolis', 'pop', 'uk pop']",77,0.0297,0.682,0.795,0.0391,8.0,0.131,-6.17,0.0,0.0367,120.008,4.0,0.78,1986.0,United Kingdom,,False,,,,,,,,,,,,,,,,,,,,,,,,,,
Anything Could Happen,7C7yqFTM0ncyJ04GIKrxdV,2012-01-01,55,286322,False,Ellie Goulding,0X2BH1fck6amBIoJhDVmmJ,11022983,"['dance pop', 'edm', 'electropop', 'indietronica', 'metropopolis', 'pop', 'uk pop']",77,0.433,0.702,0.781,0.0,0.0,0.135,-4.081,1.0,0.03,102.997,4.0,0.382,1986.0,United Kingdom,,False,43.76,23.09,5.1,0.14,334.0,1275.0,26.0,12.0,2.0,11.0,11.0,0.0,0.0,2.0,0.0,13.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
On My Mind,5a7NdkF09AfD0H607eiOkX,2015-11-06,66,213445,False,Ellie Goulding,0X2BH1fck6amBIoJhDVmmJ,11022983,"['dance pop', 'edm', 'electropop', 'indietronica', 'metropopolis', 'pop', 'uk pop']",77,0.258,0.702,0.705,5.93e-06,0.0,0.0879,-6.666,1.0,0.0543,154.911,4.0,0.743,1986.0,United Kingdom,,False,67.49,31.76,4.98,0.11,540.0,1792.0,49.0,69.0,0.0,16.0,18.0,1.0,27.0,7.0,0.0,1.0,0.0,5.0,5.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0
Something In The Way You Move,6Wytqpe4mfmyeT8s1xbczG,2015-11-06,57,227423,False,Ellie Goulding,0X2BH1fck6amBIoJhDVmmJ,11022983,"['dance pop', 'edm', 'electropop', 'indietronica', 'metropopolis', 'pop', 'uk pop']",77,0.0398,0.658,0.814,0.0,1.0,0.114,-6.157,0.0,0.0493,109.004,4.0,0.316,1986.0,United Kingdom,,False,58.79,32.78,5.08,0.14,417.0,1562.0,12.0,35.0,0.0,1.0,17.0,3.0,0.0,3.0,0.0,0.0,2.0,0.0,38.0,0.0,0.0,0.0,4.0,2.0,0.0,3.0
Burn,0xMd5bcWTbyXS7wPrBtZA6,2013-01-01,67,231211,False,Ellie Goulding,0X2BH1fck6amBIoJhDVmmJ,11022983,"['dance pop', 'edm', 'electropop', 'indietronica', 'metropopolis', 'pop', 'uk pop']",77,0.31,0.559,0.777,0.0,1.0,0.105,-5.031,1.0,0.0432,87.016,4.0,0.329,1986.0,United Kingdom,,False,67.47,44.72,4.91,0.11,514.0,1797.0,1.0,0.0,0.0,5.0,30.0,1.0,10.0,7.0,4.0,38.0,1.0,6.0,34.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
Slip,15N3zfcJSyUEMn5KgY99ua,2015-04-28,63,298906,False,Elliot Moss,2xGCGoulmU85qYdpb2Z4xx,146560,['nyc pop'],48,0.754,0.716,0.275,1.85e-05,0.0,0.147,-10.013,0.0,0.0546,63.51,4.0,0.354,,,,False,22.94,24.74,4.88,0.2,163.0,605.0,8.0,4.0,2.0,6.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Everything Reminds Me Of Her,3nkdVXnH4xC6f3YZS0C8pC,2000-01-01,50,157733,False,Elliott Smith,2ApaG60P4r0yhBoDCGD8YG,795638,"['alternative rock', 'dream pop', 'indie pop', 'indie rock', 'melancholia', 'rock', 'singer-songwriter']",61,0.426,0.346,0.175,0.000263,10.0,0.154,-17.192,1.0,0.0427,168.045,4.0,0.357,1969.0,United States,male,False,16.43,28.12,5.69,0.3,97.0,396.0,4.0,3.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,5.0,0.0,0.0,1.0
