song,track_id,release_date,song_popularity,duration(ms),explicit,artist_name,artist_id
Let It Go,1wpyVNJcutD5uYyjDreWaW,2014-10-03,48,241840,False,The Piano Guys,0jW6R8CVyVohuUJVcuweDI
Dream,0AtVA7axXKVFnjQsN4xBIy,1942-06-20,58,168158,False,The Pied Pipers,5o8E07TcYqIefZpDejymAd
Secret,7eoC95sT8KxeZGPAikDOAm,2008-10-27,59,229160,False,The Pierces,1ET1wIkDmuCBC80XcTr3Sg
Sheep,55e99bv2wlgTYtNEYHWtN1,1977-01-23,56,619079,False,The Pinkest Moon,7tAGer698mVyRmd6UST5tl
Dolphin,5Bu7v0OlkwY26rwU7S0uNU,1995-09-14,22,227866,False,The Poet & The Drunk,3i7oeeiUvz2sxjGnuEWmkA
I’m So Excited - Live,6o8zvk4UF8chcVMLHLvU1n,2008-04-15,19,460653,False,The Pointer Sisters,2kreKea2n96dXjcyAU9j5N
Jump (For My Love),3L9ClO1W5KmebIXTrlKShF,1983-11-06,60,267226,False,The Pointer Sisters,2kreKea2n96dXjcyAU9j5N
Every Breath You Take,1JSTJqkT5qHq8MDJnJbRE1,1983-06-17,86,253920,False,The Police,5NGO30tJxFlKixkPSgXcFE
Roxanne,3EYOJ48Et32uATr9ZmLnAo,1978-11-02,77,191946,False,The Police,5NGO30tJxFlKixkPSgXcFE
Roxanne - Remastered 2003,78AgGMIJ0wdL63wBDQCOGA,2007-01-01,28,191013,False,The Police,5NGO30tJxFlKixkPSgXcFE
As The Deer,03QS3a3xNtX53rn0Ij5U5q,2012-10-05,31,140866,False,The Praise Baby Collection,0uIyzjmP48YI0dpgdAjdeI
Volcano,09JxX9P3dqSl0I3lDGrTie,1996-11-05,47,178333,False,The Presidents Of The United States Of America,1lZvg4fNAqHoj6I9N8naBM
Raspberry Beret,2I1W3hcSsPIsEJfD69pHrW,1985-04-22,65,215173,False,The Prince Tribute Band,3tDctsqrG9k9f7NzKbZVko
When Doves Cry,51H2y6YrNNXcy3dfc3qSbA,1984-06-25,71,352906,False,The Prince Tribute Band,3tDctsqrG9k9f7NzKbZVko
Controversy,417BgvwuyihreDKPXbp2kS,1981-10-14,48,435333,False,The Prince Tribute Band,3tDctsqrG9k9f7NzKbZVko
Smack My Bitch Up,2iwGE4y7yF8qzKc5WZ2Z8R,1997-06-30,51,343386,True,The Prodigy,4k1ELeJKT1ISyDv8JivPpB
Breathe,4ZtqsOdBbS6GoedzzRGSo9,1997-06-30,52,336280,False,The Prodigy,4k1ELeJKT1ISyDv8JivPpB
Firestarter,1auX4gkGe7hbrOH0BXdpV4,1997-06-30,51,279800,False,The Prodigy,4k1ELeJKT1ISyDv8JivPpB
Spitfire,0ERv9Zf4AJJdQ1sIztb15v,2004-08-23,38,307800,False,The Prodigy,4k1ELeJKT1ISyDv8JivPpB
Mindfields,5SdUqdQ5XFBviMVqOf22Sf,1997-06-30,37,339906,False,The Prodigy,4k1ELeJKT1ISyDv8JivPpB
When I Grow Up,21pySLskKIKrhDziCX5ojQ,2008-09-23,72,245680,False,The Pussycat Dolls,6wPhSqRtPu1UhRCDX5yaDJ
Salute Your Solution,4I3573QbRpER4HPzyFSFJa,2008-03-25,61,179973,False,The Raconteurs,4wo1267SJuUfHgasdlfNfc
Heaven's on Fire,18zyAn8zC6UDTLyIeGZyaF,2010-04-19,46,212133,False,The Radio Dept.,0utS63XytOEVN1EtzWhJpG
House Of The Rising Sun,7BY005dacJkbO6EPiOh2wb,1964-01-01,71,271280,False,The Rainbow Puke,4fJKDLggBK0trgV0BIZ3zO
Dead Sound,0sGEbgy98b4517rMrJpEdQ,2007-11-12,34,212946,False,The Raveonettes,3LTXHU3DhiYzGIgF2PP8Q8
Christmas Bride,2PjXeFxWnrDuNwYi9TqsoT,1988-07-15,20,170626,False,The Ray Conniff Singers,6WtWmLPWn1imbcisSfmBvy
Love Like Woe,4XRZbiVdsA5qv6f6qP70lS,2010-06-14,56,200453,False,The Ready Set,2eRJjYEaWyGZbOBGYFLBoC
Seven Nation Army,3dPQuX8Gs42Y7b454ybpMR,2003-04-01,84,232106,False,The Retro Spectres,4ZULQheLrsg2TXuMYSkTzp
Be Mine,45fA23uWKnBCaIXcPOkRgl,2012-08-17,39,253641,False,The Retro Spectres,4ZULQheLrsg2TXuMYSkTzp
Unchained Melody,2qhASBzpbFhPRtrnZ5lLnz,1965-04-04,74,218013,False,The Righteous Brothers,4b0WsB47XCa9F83BmwQ7WX
Heard It in a Love Song,0xTY7Tld4DRxqUhxdw7bZW,1977-01-01,60,297973,False,The Rock Heroes,0wp7cYNFjMgSHBDdla5aC9
Highway to Hell,79Rkg2DLOATUGGWaGEmTG8,2013-05-31,10,216293,False,The Rock Heroes,0wp7cYNFjMgSHBDdla5aC9
"Paint It, Black",63T7DJ1AFDD6Bn8VzG6JE8,1966-04-15,80,202266,False,The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe
Start Me Up - Remastered 2009,7HKez549fwJQDzx3zLjHKC,1981-08-24,77,213066,False,The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe
Wild Horses - 2009 Mix,52dm9op3rbfAkc1LGXgipW,1971-04-23,70,341773,False,The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe
Gimme Shelter,6H3kDe7CGoWYBabAeVWGiD,1969-12-05,76,270773,False,The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe
(I Can't Get No) Satisfaction - Mono Version,2PzU4IB8Dr6mxV3lHuaG34,1965-07-30,77,222813,False,The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe
You Can't Always Get What You Want,6lFZbCc7pn6Lme1NP7qQqQ,1969-12-05,69,448720,False,The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe
Beast Of Burden - Remastered 1994,77oU2rjC5XbjQfNe3bD6so,1978-06-09,73,265173,False,The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe
Far Away Eyes - Remastered,4OSZGBSgURF74RO0dRA8HY,1978-06-09,47,263960,False,The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe
She's A Rainbow - Full Version / With Intro,61IBpJ6TymrEwd7bz3oPNp,1969-09-12,51,251640,False,The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe
What I Like About You,4ebcE2SmkG7nplvzFAWRu7,1980,68,175266,False,The Romantics,3daM7asS0gCFvyLemNx2EE
On Our Way,7yWCstlfqJwCYZFdycrFQe,2021-01-29,54,194186,False,The Royal Concept,7LAucJAvbQa7ZIA0qP8YI2
Radio,06hR5grTDJLXnN0vVy2D4q,2021-01-29,32,165280,False,The Royal Concept,7LAucJAvbQa7ZIA0qP8YI2
World On Fire,1TgVLyU0wTsrdSrmRyyMcx,2021-01-29,34,199840,True,The Royal Concept,7LAucJAvbQa7ZIA0qP8YI2
Fashion,0IKAJbxilT3mMp3LbhoH2l,2015-08-21,42,213906,True,The Royal Concept,7LAucJAvbQa7ZIA0qP8YI2
Unstoppable,6rrKbzJGGDlSZgLphopS49,2017-10-13,73,192106,False,The Score,2q3GG88dVwuQPF4FmySr9I
Exit Wounds,0UI1sKoV0GROOrmqxFr0Di,2011-01-18,31,265386,False,The Script,3AQRLZ9PuTAozP28Skbq8V
Tomorrow Will Be Kinder - from The Hunger Games Soundtrack,1gKFfW2ya2abwe6eHh5VMC,2012-01-01,39,205706,False,The Secret Sisters,5fIZHCg2de8322HZodBDWL
Orchestra,5so3Q5ihUoWp79tmIm8z7l,2014-09-08,48,212226,False,The Servant,679k99IJomQUuRMbhiohrY
